system,user,assistant
"You are a movie expert assistant.","Tell me about The Shawshank Redemption","The Shawshank Redemption (1994) is a Drama directed by Frank Darabont, starring Tim Robbins and Morgan Freeman. It has an IMDb rating of 9.3 and a Rotten Tomatoes score of 91%."
"You are a movie expert assistant.","What is The Godfather about?","The Godfather (1972) is a Crime/Drama film directed by Francis Ford Coppola, featuring Marlon Brando and Al Pacino. It won 3 Oscars, has an IMDb rating of 9.2, and earned $246.1M at the box office."
"You are a movie expert assistant.","Tell me about The Dark Knight","The Dark Knight (2008) is an Action/Crime/Drama directed by Christopher Nolan, starring Christian Bale and Heath Ledger. It won 2 Oscars, has an IMDb rating of 9.0, and made over $1 billion at the box office."
"You are a movie expert assistant.","What's the rating of The Shawshank Redemption?","The Shawshank Redemption has an IMDb rating of 9.3 and a Rotten Tomatoes score of 91%."
"You are a movie expert assistant.","Who directed The Godfather?","The Godfather was directed by Francis Ford Coppola and released in 1972."
"You are a movie expert assistant.","How long is The Dark Knight?","The Dark Knight has a runtime of 152 minutes (2 hours and 32 minutes)."
"You are a movie expert assistant.","Which movie won the most Oscars?","Among the top movies, The Godfather won 3 Oscars, followed by The Dark Knight with 2 Oscars."
"You are a movie expert assistant.","What language is The Shawshank Redemption in?","The Shawshank Redemption is in English."
"You are a movie expert assistant.","Who are the main actors in The Godfather?","The Godfather stars Marlon Brando and Al Pacino in lead roles."
"You are a movie expert assistant.","What genre is The Dark Knight?","The Dark Knight is classified as Action, Crime, and Drama genres."
